词语 文章uri 词语频率 文章长度（词语数量）
广州 https://www.scut.edu.cn/new/ 9 1109
国际 https://www.scut.edu.cn/new/ 4 1109
校区 https://www.scut.edu.cn/new/ 6 1109
Guangzhou https://www.scut.edu.cn/new/ 1 1109
International https://www.scut.edu.cn/new/ 1 1109
Campus https://www.scut.edu.cn/new/ 1 1109
在校 https://www.scut.edu.cn/new/ 1 1109
生 https://www.scut.edu.cn/new/ 17 1109
教职员工 https://www.scut.edu.cn/new/ 1 1109
校友 https://www.scut.edu.cn/new/ 3 1109
未来 https://www.scut.edu.cn/new/ 1 1109
学生 https://www.scut.edu.cn/new/ 8 1109
访客 https://www.scut.edu.cn/new/ 1 1109
新闻网 https://www.scut.edu.cn/new/ 1 1109
门户 https://www.scut.edu.cn/new/ 1 1109
邮箱 https://www.scut.edu.cn/new/ 1 1109
网络 https://www.scut.edu.cn/new/ 3 1109
服务 https://www.scut.edu.cn/new/ 1 1109
English https://www.scut.edu.cn/new/ 1 1109
学校 https://www.scut.edu.cn/new/ 9 1109
概况 https://www.scut.edu.cn/new/ 2 1109
机构 https://www.scut.edu.cn/new/ 2 1109
设置 https://www.scut.edu.cn/new/ 2 1109
人才 https://www.scut.edu.cn/new/ 4 1109
培养 https://www.scut.edu.cn/new/ 4 1109
科学研究 https://www.scut.edu.cn/new/ 3 1109
招生 https://www.scut.edu.cn/new/ 4 1109
就业 https://www.scut.edu.cn/new/ 2 1109
图书馆 https://www.scut.edu.cn/new/ 2 1109
校园 https://www.scut.edu.cn/new/ 3 1109
生活 https://www.scut.edu.cn/new/ 2 1109
招聘 https://www.scut.edu.cn/new/ 2 1109
合作 https://www.scut.edu.cn/new/ 4 1109
交流 https://www.scut.edu.cn/new/ 2 1109
广东省 https://www.scut.edu.cn/new/ 4 1109
第十 https://www.scut.edu.cn/new/ 4 1109
届 https://www.scut.edu.cn/new/ 7 1109
大学生 https://www.scut.edu.cn/new/ 4 1109
运动会 https://www.scut.edu.cn/new/ 1 1109
创 https://www.scut.edu.cn/new/ 9 1109
佳绩 https://www.scut.edu.cn/new/ 2 1109
新闻 https://www.scut.edu.cn/new/ 3 1109
more https://www.scut.edu.cn/new/ 4 1109
召开 https://www.scut.edu.cn/new/ 2 1109
第九 https://www.scut.edu.cn/new/ 3 1109
届教 https://www.scut.edu.cn/new/ 2 1109
代 https://www.scut.edu.cn/new/ 11 1109
会 https://www.scut.edu.cn/new/ 13 1109
暨 https://www.scut.edu.cn/new/ 4 1109
第十五 https://www.scut.edu.cn/new/ 3 1109
届工 https://www.scut.edu.cn/new/ 2 1109
第四次 https://www.scut.edu.cn/new/ 2 1109
会议 https://www.scut.edu.cn/new/ 2 1109
推动 https://www.scut.edu.cn/new/ 2 1109
市校 https://www.scut.edu.cn/new/ 2 1109
泰州市 https://www.scut.edu.cn/new/ 2 1109
政企 https://www.scut.edu.cn/new/ 2 1109
代表团 https://www.scut.edu.cn/new/ 3 1109
来访 https://www.scut.edu.cn/new/ 2 1109
华南 https://www.scut.edu.cn/new/ 15 1109
理工 https://www.scut.edu.cn/new/ 14 1109
章 https://www.scut.edu.cn/new/ 4 1109
熙春 https://www.scut.edu.cn/new/ 3 1109
书记 https://www.scut.edu.cn/new/ 2 1109
讲授 https://www.scut.edu.cn/new/ 2 1109
思政 https://www.scut.edu.cn/new/ 2 1109
第一 https://www.scut.edu.cn/new/ 3 1109
课 https://www.scut.edu.cn/new/ 3 1109
勉励 https://www.scut.edu.cn/new/ 2 1109
走好 https://www.scut.edu.cn/new/ 2 1109
新 https://www.scut.edu.cn/new/ 16 1109
时代 https://www.scut.edu.cn/new/ 4 1109
新长征 https://www.scut.edu.cn/new/ 2 1109
路 https://www.scut.edu.cn/new/ 4 1109
2019 https://www.scut.edu.cn/new/ 20 1109
06 https://www.scut.edu.cn/new/ 17 1109
湾区华园情 https://www.scut.edu.cn/new/ 1 1109
惠聚 https://www.scut.edu.cn/new/ 1 1109
共 https://www.scut.edu.cn/new/ 4 1109
铸梦 https://www.scut.edu.cn/new/ 1 1109
惠州市 https://www.scut.edu.cn/new/ 1 1109
